Refined_Formal_Name,Original-QID,Original-QID描述,Second-Query_QID,Second-Query_QID描述,Second-Query_Label,保留QID,保留原因
Martyrdom of Saint Erasmus,Q59542375,尼古拉斯·普桑为圣彼得大教堂创作的祭坛画,Q3850323,圣厄拉兹莫（圣人本体）,The Martyrdom of Saint Erasmus,Q59542375,指代书中讨论的普桑在罗马最具声望的公共委任作品。
The Mission,Q64547309,耶稣会传教题材的艺术作品,Q302490,1986年电影《教会》,The Mission,Q64547309,电影项为现代词条，应保留与耶稣会赞助相关的艺术史项。
Mystic Marriage of Saint Catherine,Q27967889,柯勒乔创作的《圣凯瑟琳的神秘婚礼》,Q27699692,帕尔米贾尼诺创作的同名作品,The Mystic Marriage of Saint Catherine,Q27967889,柯勒乔的作品是 17 世纪收藏家（如法尔内塞家族）追求的范本。
The Plague at Ashdod,Q26692514,普桑创作的《阿什杜德的瘟疫》,Q3900760,无明确描述,The Plague at Ashdod,Q26692514,确认为普桑为赞助人设计的标志性历史画。
Presentation in the Temple,Q110803137,西蒙·武埃创作的《圣殿奉献》,Q19914235,宗教题材：圣殿奉献,The Presentation in the Temple,Q110803137,指代书中法意艺术交流中具体的祭坛画杰作。
The Repentant Magdalene,Q12900942,卡诺瓦的雕塑《忏悔的抹大拉》,Q64547315,艺术题材描述,The Repentant Magdalene,Q12900942,指代特定收藏中的巴洛克/新古典主义名作。
Rest on the Flight into Egypt,Q28796949,普桑创作的《逃往埃及途中的休息》,Q135412136,艺术题材描述,The Rest on The Flight into Egypt,Q28796949,对应书中普桑绘画赞助的核心作品。
The Resurrection,Q23929203,切科·德尔·卡拉瓦乔的《复活》,Q617629,复活（宗教题材）,The Resurrection,Q23929203,指代具体的画作。
The Sacrifice of Noah,Q52289557,普桑创作的《诺亚祭祀》,Q3944655,无明确描述,The Sacrifice of Noah,Q52289557,确认为普桑的历史题材名作。
The Vision of Constantine,Q7772874,贝尼尼在圣彼得大教堂的大理石浮雕,Q110034112,无明确描述,The Vision of Constantine,Q7772874,教皇赞助史上最重要的政治-宗教联动雕塑。
Thomas Baker,Q7787323,贝尼尼创作的《托马斯·贝克半身像》,Q7787321,托马斯·贝克（人物本体）,Thomas Baker,Q7787321,优先保留作为英国赞助人的历史人物本体。
Thomas Foley,Q7789693,第一代福利男爵，英国收藏家,Q7789691,无明确描述,"Thomas Foley, 1st Baron Foley",Q7789693,确认为 18 世纪英国艺术贸易的重要参与者。
Thomas Sydenham,Q559213,英国医学家（肖像画对象）,Q75269441,无明确描述,Thomas Sydenham,Q559213,确认为历史人物。
Tolfa,Q243488,托尔法（教皇国明矾矿所在地）,Q37020169,无明确描述,Tolfa,Q243488,这里的工业收益是教皇赞助艺术的重要资金来源。
Tommaso Mattei,Q7819076,17-18世纪罗马建筑师,Q104902519,无明确描述,Tommaso Mattei,Q7819076,确认为活跃在罗马建筑赞助体系中的艺术家。
Tommaso Ruffo,Q2661419,18世纪枢机，伟大的收藏家,Q108446805,无明确描述,Tommaso Ruffo,Q2661419,书中《伦勃朗与鲁福》章节提及的鲁福家族成员。
Troy,Q22647,古城特洛伊,Q79862,艺术题材：特洛伊的毁灭,Troy,Q22647,艺术作品中常见的古典地理/史诗背景。
Turnus,Q633549,希腊神话人物图尔努斯,Q1325522,艺术作品中的图尔努斯,Turnus,Q633549,见于巴洛克史诗题材绘画（如埃涅阿斯纪）。
Venus Italica,Q4009586,卡诺瓦的雕塑《意大利维纳斯》,Q121790161,无明确描述,Venus Italica,Q4009586,确认为美第奇家族在 19 世纪初补充收藏的杰作。
"Venus, Adonis and Cupid",Q50973367,安尼巴莱·卡拉齐创作的同名画作,Q4245125,艺术题材描述,"Venus, Adonis and Cupid",Q50973367,指代博洛尼亚画派赞助中的名作。
Villa Medici,Q206365,罗马美第奇别墅,Q1585931,佛罗伦萨美第奇别墅,Villa Medici,Q206365,确认为罗马最重要的权力与艺术陈列空间。
Villa Pisani,Q514069,斯特拉的皮萨尼别墅,Q2060988,无明确描述,Villa Pisani,Q514069,确认为 18 世纪威尼斯贵族赞助最宏大的府邸。
Vincenzo Ruffo,Q1494084,16世纪作曲家（鲁福家族）,Q109876830,无明确描述,Vincenzo Ruffo,Q1494084,涉及家族早期文化资助背景。
Vincenzo Viviani,Q318037,美第奇宫廷学者、科学家,Q51880264,无明确描述,Vincenzo Viviani,Q318037,涉及托斯卡纳大公对科学与人文的交叉赞助。
Voltaire,Q9068,伏尔泰,Q56062813,艺术作品中的伏尔泰,Voltaire,Q9068,其艺术观点对 18 世纪后期赞助产生深远影响。
Waterloo,Q179034,滑铁卢（地理/战役）,Q32503,滑铁卢桥（艺术题材）,Waterloo,Q179034,涉及后期历史画赞助的相关背景。
Westphalia,Q8614,威斯特法伦地区,Q1010509,威斯特法伦和约,Westphalia,Q8614,涉及欧洲政治版图变迁对赞助环境的影响。
Wilhelm Martin,Q18222898,20世纪艺术史学家,Q107493957,无明确描述,Wilhelm Martini,Q18222898,确认为书中引用的现代学术参考文献作者。
Wilhelm Richter,Q1700818,17世纪画家,Q106548550,无明确描述,Wilhelm Richter,Q1700818,确认为在欧洲各宫廷流动的职业艺术家。
William Bentinck,Q336463,波特兰公爵，英国赞助人,Q16209023,无明确描述,William Bentinck,Q336463,确认为英国收藏史中的核心人物。
William Cavendish,Q944531,第四代德文郡公爵,Q2697139,第一代德文郡公爵,William Cavendish,Q944531,德文郡家族是英国艺术收藏与赞助的世家。
William Henry,Q182915,格洛斯特公爵威廉·亨利王子,Q680982,无明确描述,William Henry,Q182915,英国皇室赞助人。
